None,2.8,3.0,56_0,0.296|None|0.2816,0.4109|None|0.4133,0.3333|None|0.4681,0.05|None|0.1656,0.1167|None|0.1431
None,2.7,5.8,62_0,0.8255|0.8324|0.843|0.8613|0.8621|0.8615|0.8659|0.8683|0.8694|0.8681|0.8672|0.8687|0.8662|0.8666|0.8663|0.8652|0.865|0.866|0.8656|0.8679|0.8676|0.8692|0.869|0.8699|0.8707|0.3123|0.8703|0.8701|0.869|None|0.2675|0.3193,0.7891|0.7891|0.7898|0.8117|0.85|0.85|0.85|0.85|0.8492|0.8492|0.8492|0.8492|0.85|0.85|0.85|0.8492|0.8492|0.8492|0.8492|0.8492|0.8492|0.8492|0.8492|0.8492|0.8492|0.7602|0.8492|0.8492|0.8492|None|0.7602|0.7609,0.3764|0.3764|0.3764|0.3306|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.2597|0.6903|0.2597|0.2597|0.2597|None|0.6931|0.6931,0.0984|0.0992|0.0977|0.1063|0.1141|0.1148|0.1148|0.1148|0.1156|0.1156|0.1164|0.1164|0.1156|0.1156|0.1156|0.1164|0.1164|0.1164|0.1164|0.1164|0.1164|0.1164|0.1164|0.1164|0.1164|0.0445|0.1164|0.1164|0.1164|None|0.0414|0.0406,0.1958|0.1958|0.1931|0.2111|0.2347|0.2347|0.2347|0.2347|0.2347|0.2361|0.2347|0.2347|0.2347|0.2347|0.2361|0.2361|0.2361|0.2361|0.2361|0.2361|0.2361|0.2361|0.2361|0.2347|0.2361|0.0903|0.2361|0.2361|0.2361|None|0.0764|0.0764
None,3.2,5.5,39_1,0.3402|0.3383|0.3264|0.3162|0.3117|0.3129|0.3072|0.3139|0.3146|0.3261|0.322|0.3248|0.3203|0.3198|0.3248|0.3218|0.3204|0.3167|0.3252|0.327|0.3336|0.3381|0.3262|0.3266,0.382|0.3828|0.382|0.382|0.3992|0.3992|0.3992|0.3992|0.3992|0.3992|0.3992|0.3992|0.3992|0.3992|0.3828|0.3992|0.4|0.4|0.4|0.3992|0.3992|0.3992|0.3992|0.3992,0.4736|0.4736|0.4736|0.4736|0.4181|0.4181|0.4194|0.4194|0.4194|0.4194|0.4194|0.4181|0.4194|0.4194|0.4736|0.4194|0.4194|0.4194|0.4194|0.4194|0.4194|0.4194|0.4194|0.4194,0.018|0.0172|0.018|0.018|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0164|0.0164|0.0164|0.0172|0.0172|0.0172|0.0172|0.0172,0.0694|0.0694|0.0694|0.0694|0.0889|0.0889|0.0875|0.0875|0.0875|0.0875|0.0875|0.0889|0.0875|0.0875|0.0694|0.0875|0.0875|0.0875|0.0875|0.0875|0.0875|0.0875|0.0875|0.0875
None,3.2,5.5,39_2,0.3774|0.4191|0.4121|0.4055|0.4027|0.4198|0.4098|0.4078|0.4111|0.4151|0.4128|0.4145|0.413|0.4086|0.4133|0.4121|0.4133|0.418|0.4285|0.4311|0.4347|0.436|0.4247|0.4244,0.4117|0.4125|0.4125|0.4125|0.4125|0.4133|0.4133|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125|0.4125,0.4194|0.4208|0.4208|0.4208|0.4208|0.4222|0.4222|0.4222|0.4222|0.4222|0.4222|0.4222|0.4222|0.4222|0.4222|0.4222|0.4236|0.4236|0.4236|0.4236|0.4222|0.4222|0.4222|0.4222,0.0164|0.0156|0.0156|0.0156|0.0148|0.0141|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148|0.0148,0.0889|0.0861|0.0861|0.0861|0.0861|0.0847|0.0847|0.0847|0.0847|0.0847|0.0847|0.0847|0.0847|0.0847|0.0847|0.0847|0.0833|0.0833|0.0833|0.0847|0.0861|0.0861|0.0861|0.0861
None,7.6,7.8,2_0,0.2897|0.2589|0.265,0.7438|0.7375|0.7422,0.6458|0.6458|0.6556,0.1109|0.1094|0.1031,0.1347|0.1292|0.1222
None,8.6,9.6,66_1,0.4792|0.4832|0.4936|0.4867|0.4609|0.4879|0.4639|0.3915|0.4662|0.3844|0.5429,0.1805|0.1805|0.1797|0.1789|0.1797|0.1797|0.1789|0.1797|0.1781|0.1797|0.1727,0.6597|0.6597|0.6597|0.6611|0.6611|0.6569|0.6569|0.6472|0.6458|0.6361|0.6278,0.2586|0.2602|0.2602|0.2664|0.2648|0.2578|0.2594|0.2602|0.2602|0.2578|0.2656,0.15|0.15|0.1486|0.1486|0.1486|0.1514|0.1514|0.1597|0.1597|0.1625|0.1639
None,3.2,7.3,39_0,0.3099|0.3275|0.3181|0.3136|0.3033|0.308|0.2939|0.2964|0.2941|0.2974|0.2993|0.3147|0.3173|0.3045|0.3215|0.3066|0.2962|0.2677|0.2608|0.2683|0.2892|0.2937|0.2636|0.257|0.3641|0.3321|0.352|0.3075|0.3034|0.3033|0.3016|0.3102|0.3116|0.3166|0.3472|0.3512|0.2962|0.2607|0.2752|0.2983|0.2844|0.3241,0.3992|0.3992|0.3992|0.3992|0.382|0.382|0.382|0.3828|0.3828|0.3828|0.3828|0.3828|0.3828|0.3828|0.3992|0.3828|0.3828|0.382|0.382|0.3828|0.3828|0.3828|0.3828|0.3828|0.1859|0.1867|0.1867|0.1859|0.1859|0.6367|0.1859|0.1859|0.1859|0.1859|0.1867|0.1859|0.1852|0.3672|0.3664|0.3672|0.3656|0.3656,0.4181|0.4181|0.4181|0.4181|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4194|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.4736|0.3944|0.3944|0.3944|0.3944|0.3944|0.3778|0.3944|0.3944|0.3944|0.3931|0.3931|0.3931|0.3931|0.5806|0.5792|0.5792|0.5792|0.5778,0.018|0.0172|0.0172|0.0172|0.018|0.018|0.018|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0172|0.0164|0.0172|0.0172|0.0172|0.0172|0.0383|0.0375|0.0375|0.0383|0.0383|0.0188|0.0375|0.0383|0.0375|0.0375|0.0375|0.0383|0.0391|0.0227|0.0227|0.0234|0.0242|0.0242,0.0889|0.0889|0.0889|0.0889|0.0694|0.0694|0.0694|0.0694|0.0694|0.0694|0.0694|0.0694|0.0694|0.0694|0.0875|0.0694|0.0694|0.0694|0.0694|0.0694|0.0694|0.0708|0.0708|0.0708|0.1333|0.1333|0.1319|0.1333|0.1347|0.0597|0.1319|0.1333|0.1319|0.1333|0.1333|0.1361|0.1375|0.0556|0.0639|0.0597|0.0708|0.0764
None,6.3,7.3,39_1,0.5663|0.5964|0.6945|0.7418|0.6306|None|0.2988|0.3205|0.3286|0.3511|0.363,0.632|0.6328|0.6305|0.632|0.6328|None|0.1852|0.1852|0.1859|0.1859|0.1859,0.3806|0.3806|0.3806|0.3806|0.3792|None|0.3931|0.3931|0.3931|0.3931|0.3931,0.0234|0.0234|0.0258|0.0242|0.0234|None|0.0391|0.0391|0.0383|0.0383|0.0383,0.0722|0.0833|0.0931|0.0986|0.1014|None|0.1375|0.1375|0.1375|0.1375|0.1375
None,9.4,10.8,73_0,0.4318|0.4322|None|0.4771|0.3929|0.355|0.5416|0.6581|0.6317|0.665|0.5872|0.5867|0.4759|0.2636|0.4579,0.468|0.4688|None|0.468|0.468|0.468|0.4695|0.4695|0.4695|0.4711|0.468|0.468|0.468|0.4672|0.468,0.7472|0.7486|None|0.7486|0.7486|0.7472|0.75|0.7514|0.7514|0.7514|0.75|0.75|0.75|0.7486|0.7472,0.0789|0.0781|None|0.0789|0.0781|0.0781|0.0781|0.0773|0.0773|0.075|0.0781|0.0781|0.0781|0.0805|0.0789,0.1458|0.1444|None|0.1458|0.1431|0.1458|0.1444|0.1431|0.1431|0.1403|0.1403|0.1417|0.1403|0.1375|0.1431
None,3.0,7.3,0_1,0.4726|0.7051|0.7046|0.4319|0.4426|0.392|0.3905|0.3588|0.4008|0.3594|0.3382|0.3761|0.4681|0.3678|0.37|0.4901|0.6078|0.6574|0.6705|0.7588|0.6846|0.6733|0.6758|0.6212|0.5759|0.5694|0.8729|0.8698|0.8593|0.8196|0.7867|0.7649|0.7961|0.7508|0.8146|0.7956|0.7904|0.7935|0.7795|0.7626|0.7603|0.7598|0.7516|0.7408,0.2258|0.5047|0.5039|0.2047|0.2141|0.2172|0.2242|0.225|0.2289|0.2008|0.2008|0.2375|0.2359|0.2219|0.2242|0.1961|0.2055|0.2172|0.2297|0.2406|0.2492|0.2594|0.2648|0.268|0.2383|0.2383|0.3688|0.3688|0.3695|0.3687|0.3688|0.3687|0.3672|0.3344|0.3656|0.3648|0.3656|0.3672|0.2281|0.368|0.368|0.3672|0.3672|0.3687,0.4792|0.4111|0.4125|0.5681|0.5736|0.5681|0.5611|0.5639|0.5667|0.4458|0.4486|0.5681|0.5653|0.45|0.4458|0.4347|0.4194|0.4111|0.4056|0.4042|0.4042|0.4069|0.4069|0.4111|0.5528|0.5528|0.2347|0.2347|0.2347|0.2347|0.2319|0.2347|0.2333|0.1514|0.2333|0.2333|0.2333|0.2333|0.2667|0.2347|0.2347|0.2333|0.2333|0.2347,0.1086|0.1586|0.1594|0.1734|0.1625|0.1609|0.1547|0.1531|0.15|0.1258|0.1266|0.1367|0.1383|0.1102|0.1016|0.125|0.118|0.1125|0.1086|0.1023|0.1|0.0969|0.0969|0.1008|0.1344|0.1344|0.1367|0.1367|0.1359|0.1375|0.1359|0.1187|0.1016|0.4305|0.0812|0.0828|0.0836|0.0836|0.1469|0.0953|0.1055|0.1078|0.1094|0.1078,0.1931|0.4083|0.3181|0.2417|0.2556|0.2764|0.2903|0.2819|0.2722|0.2236|0.2194|0.2681|0.2736|0.2167|0.2194|0.2333|0.2486|0.2431|0.2472|0.2472|0.2611|0.2611|0.2389|0.2403|0.2861|0.2889|0.3708|0.3708|0.3681|0.3694|0.3764|0.3778|0.3431|0.8486|0.2986|0.3|0.3264|0.3431|0.45|0.3597|0.3694|0.3653|0.3583|0.3528
